334838,371239
54,369054
40589,1881
58,369052
30,369064
330723,371247
334826,371245
334683,362682
37,494962
333937,818
334695,362677
330819,371206
350460,126658
335422,433082
334830,371243
334204,64516
334711,362669
82,369042
58,369053
330667,371271
335334,371032
338929,371243
38,369059
121866,371231
314948,433080
330727,371247
339585,433051
380091,371155
334830,371244
196795,368998
335426,433081
8012,258773
334822,371247
332890,434149
196605,4
350676,368022
298407,62344
334830,371245
330747,371238
335437,372709
335043,3803
42,369062
262140,3
334691,362680
334762,371270
62,369053
329916,100815
330727,371249
262073,28
204779,14
333646,371744
191452,371246
334734,371279
334730,385079
334794,371254
380179,371123
330731,385045
350724,374901
335488,367513
206227,371924
334838,371243
317912,383544
334638,440307
322134,371412
380164,500473
334838,371242
334834,371244
195587,371237
334679,362681
334830,371246
256196,4236
334834,371246
352233,14
334758,371268
330743,371244
334830,371247
334746,371273
335422,433079
351258,371226
334834,371245
334715,362665
379911,371235
379907,371238
334650,371319
334730,371282
339900,37
334830,371248
63,319029
306158,371248
330667,371266
334651,362696
50,369049
331427,370944
339695,1835
334810,371244
302386,55487
84,131046
42,369053
334707,362677
196760,429371
330711,371246
334722,371294
334731,362667
334786,385064
335089,48615
70,369041
330740,134969
350810,371407
334834,371234
335449,372701
323354,350213
330747,371232
330711,371247
250772,434235
339964,9
334814,371244
379619,385161
334703,362681
351198,371244
334961,62479
330719,371244
334731,362669
38,369065
334894,371208
70,369043
262152,4
328887,434117
293789,385080
334731,362668
322130,371406
0,10
54,369050
70,369044
1156,434117
330751,371232
380314,62359
299633,148056
326131,368003
334695,362679
334707,362674
335373,223
66,369045
334592,2262
380326,62354
334731,362664
302938,61
39903,371251
0,11
334831,376412
50,369053
350802,371407
46,369055
84823,60857
334632,367887
125345,371493
196633,2
3092,371227
62,369048
257858,73
20475,14
330743,371237
6,369076
334799,362634
4,10
356804,372340
334733,373013
0,12
58,369051
332741,1332
256773,367902
8,9
70,369045
330711,371251
334838,371238
330715,385046
298932,370838
4,11
334695,362682
54,369053
64816,55487
333218,371924
334818,371247
0,13
62,369050
367487,362670
334826,371243
334802,371254
380942,4
334540,367902
121072,333610
617,432624
330715,371250
108512,131964
380079,371175
334683,93621
334687,362693
334715,362681
4,12
334790,371273
8,10
196775,320731
334838,371253
192285,100114
322614,371226
0,14
334156,443949
334854,371245
8,11
350720,367987
334498,385167
328883,496183
384813,79
334970,371196
334838,371252
334763,362662
12,9
4,13
334834,371254
0,15
330743,371252
335414,433072
12,10
330755,371249
16,8
330663,385081
251308,358107
334735,362674
120002,434113
328615,41015
8,12
334830,371257
4,14
39491,371409
0,16
12,11
84951,371263
186421,371657
335385,372719
334486,385170
16,9
203940,371179
4,15
329452,432159
340227,1630
8,13
334838,371254
311025,433019
257570,372719
334962,371197
196072,120943
335410,433069
334653,442038
0,17
298428,371031
334715,362678
334719,362676
20,8
8,14
120699,100932
12,12
379892,362634
121079,100806
16,10
4,16
16,11
351250,371245
334679,362694
12,13
3060,371249
338997,371229
255987,6059
20,9
20,10
16,12
8,15
320080,134258
4,17
24,8
376088,322818
196780,146543
321358,433840
196231,370946
334794,385074
328906,1230
8,16
380207,371095
334723,93637
20,11
328894,1235
330799,371231
334160,443944
334735,362670
12,14
16,13
384961,47
24,9
78,369062
28,7
121076,375019
333541,69958
334715,376485
8,17
20,12
334568,2256
334830,371249
32,7
12,15
24,10
334838,371246
28,8
318367,60857
256324,100765
350954,385170
334834,371248
322113,428317
84984,362634
379927,371232
330727,371252
318170,428293
334739,259199
121079,100796
379919,371236
12,16
298504,433084
334838,371245
24,11
330747,371243
334830,371250
334834,371247
28,9
330743,371245
16,14
323951,320626
82,375947
323629,5
335409,372703
334727,66043
28,10
180585,146450
379935,371227
36,7
334710,371315
197060,125703
56710,62363
334838,371248
32,9
20,13
195619,371228
334838,385045
16,15
256175,495762
330751,371244
12,17
334834,371250
16,16
28,11
334011,100822
372009,371101
0,23
334846,371243
334206,371499
32,8
121071,100799
196916,1601
385081,1
334838,371247
24,12
334834,371249
334779,362659
20,14
334726,371307
334830,371251
334199,383575
74,369054
334834,371251
16,17
334731,362678
334010,371591
116479,433884
379927,371236
328899,434099
12,19
46,369068
334739,362674
40,7
20,15
334830,371252
335328,443451
36,9
24,13
334846,371246
339772,61
334775,362660
20,16
66,369060
350456,257737
351242,371240
322602,385025
36,8
334830,371253
380147,371129
335455,341642
28,12
334838,371249
330759,371241
32,10
374276,358065
310462,121090
60,0
36,10
8,22
379899,371249
334640,367895
32,12
334703,362691
334838,385048
304222,434150
210940,319942
350734,150677
334838,371251
20,17
334830,371254
4,24
238276,494706
322590,371231
334834,371253
40,9
28,13
339776,61
44,7
24,16
32,11
334997,462580
322146,371388
334838,371250
334834,371252
121214,371498
40,8
334727,362680
66,369061
330073,64534
8,23
330739,371252
44,6
64,0
327939,96501
210925,387222
52,5
24,17
330100,100765
36,12
334770,371241
380094,327
262061,10
334707,66057
48,7
40,10
121119,100799
56,3
334830,371215
334687,362653
334654,371290
330699,371230
333506,357976
210933,387219
304254,434105
380206,62367
60,1
28,16
334686,371277
36,11
126244,62369
48,6
304161,1254
334715,376437
64,1
0,28
339588,136
9,370824
375625,362661
32,13
334702,60884
44,8
359328,371249
334650,371291
334790,371231
56,2
334682,371279
339728,372658
334639,362673
171436,372753
52,7
334798,371227
330711,371227
56,5
0,29
48,8
334703,362647
60,3
334786,371232
330719,371224
40,12
334778,371236
311028,87
36,14
24,18
334762,371242
379730,373008
330718,393644
334758,371245
121825,379842
40,11
196709,137956
56,4
52,6
8,26
256385,257702
44,9
334695,362652
334706,371269
13233,75512
24,19
60,2
351274,371189
36,13
334798,371226
334766,371241
380407,433083
334551,362713
28,17
72,0
334651,362671
32,17
24,20
298414,381371
334774,371236
12,25
52,8
121002,371617
334631,362679
120938,350954
334838,371216
61,384603
68,2
40,14
322130,385237
350732,443912
64,4
44,12
380403,433089
3556,433087
334750,371246
44,11
334718,60874
334766,371240
335677,55
56,6
72,1
60,4
304221,1225
334770,371237
334730,371253
68,3
321799,100808
334837,62501
334750,371247
48,9
382046,434114
334762,371241
125802,362650
330715,371228
334734,371251
40,13
298411,372750
68,0
52,10
298488,433085
48,12
40,15
334750,371244
64,2
86038,23
334762,371239
56,8
330715,371229
255852,100925
334806,371231
330703,371223
334710,385062
334802,371233
330723,371225
330655,371244
